path;age;gender;accents
common_voice_es_19475679.mp3;twenties;male_masculine;Rioplatense
common_voice_es_33929583.mp3;twenties;male_masculine;México
common_voice_es_19787466.mp3;sixties;male_masculine;España
common_voice_es_20855161.mp3;fifties;male_masculine;España
common_voice_es_19244844.mp3;fifties;male_masculine;España
common_voice_es_21945266.mp3;twenties;female_feminine;Rioplatense
common_voice_es_19359316.mp3;sixties;male_masculine;España
common_voice_es_21961091.mp3;thirties;male_masculine;Andino-Pacífico
common_voice_es_25006144.mp3;sixties;male_masculine;España
common_voice_es_34437387.mp3;twenties;female_feminine;México
common_voice_es_34168122.mp3;twenties;male_masculine;México
common_voice_es_33747254.mp3;twenties;male_masculine;México
common_voice_es_19347759.mp3;fifties;male_masculine;España
common_voice_es_20214799.mp3;twenties;male_masculine;Andino-Pacífico
common_voice_es_27058929.mp3;fifties;male_masculine;Chile
common_voice_es_34259482.mp3;twenties;female_feminine;México
common_voice_es_23364701.mp3;thirties;male_masculine;España
common_voice_es_21890896.mp3;sixties;male_masculine;España
common_voice_es_33754829.mp3;twenties;female_feminine;México
common_voice_es_30480094.mp3;twenties;male_masculine;España
common_voice_es_19626436.mp3;thirties;male_masculine;México
common_voice_es_20561380.mp3;thirties;male_masculine;España
common_voice_es_20287880.mp3;fourties;male_masculine;España
common_voice_es_34126778.mp3;twenties;female_feminine;México
common_voice_es_22096013.mp3;twenties;male_masculine;Rioplatense
common_voice_es_22056914.mp3;twenties;male_masculine;México
common_voice_es_22754229.mp3;sixties;male_masculine;España
common_voice_es_34189589.mp3;twenties;female_feminine;México
common_voice_es_21742180.mp3;twenties;male_masculine;México
common_voice_es_19688322.mp3;fifties;male_masculine;España
common_voice_es_33945023.mp3;twenties;female_feminine;México
common_voice_es_22762489.mp3;sixties;male_masculine;España
common_voice_es_33671918.mp3;twenties;male_masculine;México
common_voice_es_19221230.mp3;twenties;female_feminine;Rioplatense
common_voice_es_34039327.mp3;twenties;male_masculine;México
common_voice_es_30681350.mp3;teens;male_masculine;México
common_voice_es_34445586.mp3;twenties;female_feminine;México
common_voice_es_34142525.mp3;twenties;female_feminine;México
common_voice_es_34395907.mp3;teens;female_feminine;México
common_voice_es_18522783.mp3;twenties;male_masculine;Chile
common_voice_es_20802474.mp3;sixties;male_masculine;España
common_voice_es_20871084.mp3;sixties;male_masculine;España
common_voice_es_34068263.mp3;twenties;female_feminine;México
common_voice_es_22046869.mp3;twenties;male_masculine;Andino-Pacífico
common_voice_es_22766623.mp3;thirties;male_masculine;Andino-Pacífico
common_voice_es_34445901.mp3;thirties;female_feminine;México
common_voice_es_34493643.mp3;twenties;female_feminine;México
common_voice_es_20751447.mp3;sixties;male_masculine;España
common_voice_es_34276685.mp3;thirties;female_feminine;México
common_voice_es_19164874.mp3;twenties;male_masculine;Rioplatense
common_voice_es_33992059.mp3;thirties;female_feminine;México
common_voice_es_20400539.mp3;twenties;male_masculine;Andino-Pacífico
common_voice_es_18439874.mp3;twenties;male_masculine;España
common_voice_es_34305076.mp3;twenties;male_masculine;México
common_voice_es_33915342.mp3;twenties;female_feminine;México
common_voice_es_34536241.mp3;thirties;female_feminine;México
common_voice_es_21565477.mp3;sixties;male_masculine;España
common_voice_es_18786254.mp3;fourties;male_masculine;España
common_voice_es_20014072.mp3;fifties;male_masculine;España
common_voice_es_21994853.mp3;fourties;male_masculine;Chile
common_voice_es_37843698.mp3;twenties;male_masculine;Rioplatense
common_voice_es_33755755.mp3;teens;female_feminine;México
common_voice_es_33805528.mp3;twenties;female_feminine;México
common_voice_es_20891334.mp3;sixties;male_masculine;España
common_voice_es_34411090.mp3;twenties;male_masculine;México
common_voice_es_31848745.mp3;twenties;male_masculine;Caribe
common_voice_es_33763575.mp3;twenties;male_masculine;México
common_voice_es_21663205.mp3;sixties;male_masculine;España
common_voice_es_34324017.mp3;thirties;female_feminine;México
common_voice_es_21149047.mp3;fifties;male_masculine;España
common_voice_es_20681551.mp3;fifties;male_masculine;España
common_voice_es_18402976.mp3;twenties;male_masculine;España
common_voice_es_22655636.mp3;twenties;male_masculine;Caribe
common_voice_es_34554274.mp3;twenties;male_masculine;México
common_voice_es_34501687.mp3;thirties;female_feminine;México
common_voice_es_34563846.mp3;twenties;male_masculine;México
common_voice_es_21469679.mp3;thirties;male_masculine;España
common_voice_es_22109413.mp3;thirties;male_masculine;España
common_voice_es_20962832.mp3;fifties;male_masculine;España
common_voice_es_34105873.mp3;twenties;female_feminine;México
common_voice_es_18495694.mp3;twenties;male_masculine;Chile
common_voice_es_21352110.mp3;sixties;male_masculine;España
common_voice_es_20567397.mp3;fourties;male_masculine;España
common_voice_es_34569921.mp3;twenties;female_feminine;México
common_voice_es_27086691.mp3;sixties;female_feminine;Caribe
common_voice_es_18325570.mp3;fourties;male_masculine;Andino-Pacífico
common_voice_es_34461079.mp3;twenties;female_feminine;México
common_voice_es_19018081.mp3;twenties;male_masculine;Rioplatense
common_voice_es_21861866.mp3;twenties;male_masculine;Rioplatense
common_voice_es_34180683.mp3;thirties;female_feminine;México
common_voice_es_34803091.mp3;teens;female_feminine;México
common_voice_es_20220706.mp3;thirties;male_masculine;Caribe
common_voice_es_20598436.mp3;twenties;male_masculine;Caribe
common_voice_es_19193957.mp3;twenties;male_masculine;México
common_voice_es_20526794.mp3;fifties;male_masculine;España
common_voice_es_34397285.mp3;twenties;male_masculine;México
common_voice_es_33858959.mp3;twenties;male_masculine;México
common_voice_es_22720833.mp3;sixties;male_masculine;España
common_voice_es_18424500.mp3;fourties;male_masculine;Andino-Pacífico
common_voice_es_34512243.mp3;twenties;male_masculine;México
common_voice_es_22411135.mp3;thirties;male_masculine;México
common_voice_es_21948656.mp3;fourties;female_feminine;España
common_voice_es_22389378.mp3;twenties;male_masculine;España
common_voice_es_34448752.mp3;twenties;male_masculine;México
common_voice_es_20075485.mp3;thirties;male_masculine;América central
common_voice_es_19347673.mp3;fifties;male_masculine;España
common_voice_es_22924725.mp3;sixties;male_masculine;España
common_voice_es_21020030.mp3;sixties;male_masculine;España
common_voice_es_22298687.mp3;sixties;male_masculine;España
common_voice_es_19172401.mp3;thirties;male_masculine;España
common_voice_es_19152295.mp3;thirties;male_masculine;Rioplatense
common_voice_es_20620987.mp3;fifties;male_masculine;España
common_voice_es_33910743.mp3;twenties;male_masculine;México
common_voice_es_21970788.mp3;twenties;female_feminine;México
common_voice_es_33831585.mp3;twenties;male_masculine;México
common_voice_es_33762294.mp3;twenties;male_masculine;México
common_voice_es_34376405.mp3;twenties;female_feminine;México
common_voice_es_33786434.mp3;twenties;male_masculine;México
common_voice_es_33887072.mp3;twenties;female_feminine;México
common_voice_es_33930584.mp3;twenties;male_masculine;México
common_voice_es_18977300.mp3;fifties;male_masculine;España
common_voice_es_33690769.mp3;twenties;male_masculine;México
common_voice_es_19866900.mp3;fifties;male_masculine;España
common_voice_es_23399777.mp3;sixties;male_masculine;España
common_voice_es_19947895.mp3;fifties;male_masculine;España
common_voice_es_34180918.mp3;twenties;male_masculine;México
common_voice_es_34437445.mp3;fifties;female_feminine;México
common_voice_es_21896237.mp3;thirties;male_masculine;España
common_voice_es_19610058.mp3;twenties;male_masculine;Caribe
common_voice_es_20437666.mp3;sixties;male_masculine;España
common_voice_es_34464174.mp3;twenties;male_masculine;México
common_voice_es_19701095.mp3;twenties;male_masculine;España
common_voice_es_21741793.mp3;twenties;male_masculine;México
common_voice_es_34388500.mp3;fifties;female_feminine;México
common_voice_es_34496082.mp3;twenties;male_masculine;México
common_voice_es_34267410.mp3;twenties;male_masculine;México
common_voice_es_34073519.mp3;twenties;female_feminine;México
common_voice_es_33896870.mp3;twenties;female_feminine;México
common_voice_es_20602956.mp3;twenties;male_masculine;España
common_voice_es_20365433.mp3;twenties;male_masculine;España
common_voice_es_22031978.mp3;twenties;female_feminine;Rioplatense
common_voice_es_32833709.mp3;sixties;male_masculine;España
common_voice_es_22417823.mp3;twenties;male_masculine;España
common_voice_es_19587595.mp3;fifties;male_masculine;España
common_voice_es_34175765.mp3;twenties;male_masculine;México
common_voice_es_34375347.mp3;twenties;male_masculine;México
common_voice_es_21985650.mp3;twenties;female_feminine;México
common_voice_es_34645109.mp3;fourties;female_feminine;México
common_voice_es_22188275.mp3;twenties;male_masculine;Chile
common_voice_es_34323994.mp3;twenties;male_masculine;México
common_voice_es_18953961.mp3;thirties;male_masculine;Caribe
common_voice_es_19594026.mp3;fifties;male_masculine;España
common_voice_es_18801596.mp3;thirties;male_masculine;España
common_voice_es_34793947.mp3;teens;female_feminine;México
common_voice_es_21282422.mp3;twenties;male_masculine;México
common_voice_es_21379912.mp3;sixties;male_masculine;España
common_voice_es_21742039.mp3;twenties;male_masculine;México
common_voice_es_34203059.mp3;thirties;female_feminine;México
common_voice_es_34691442.mp3;twenties;male_masculine;México
common_voice_es_33912612.mp3;twenties;female_feminine;México
common_voice_es_20917194.mp3;sixties;male_masculine;España
common_voice_es_19372505.mp3;sixties;male_masculine;España
common_voice_es_33900930.mp3;twenties;male_masculine;México
common_voice_es_23335700.mp3;twenties;male_masculine;Chile
common_voice_es_23653606.mp3;sixties;male_masculine;España
common_voice_es_20908391.mp3;fifties;male_masculine;España
common_voice_es_19540972.mp3;sixties;male_masculine;España
common_voice_es_34380051.mp3;twenties;male_masculine;México
